comp_id,title
5437,FireEye
5556,Continuum Managed Services
5619,Kepler Cannon
5621,HCC Group
5631,Tega Industries
5648,TVS Electronics
5661,Amara Raja
5662,Birla Tyres
5699,Pidilite
5751,Pantaloons
5761,Coffee Day Beverages
5778,ANSYS
5785,Uber
5798,JK Cement
5838,Net Business Solutions
5849,URC Construction Private Limited
5861,Zara
5862,Parker Hannifin
5877,Alstom Transportation
5878,Tupperware
5903,Infotech
5928,Jubilant Life Sciences
5954,The Hindu
5958,Star Health & Allied Insurance
5973,Lambda Therapeutic Research
5977,Micro Labs
5993,Kirloskar Oil Engines
5999,Tata Steel Processing & Distribution
6023,GGK Technologies
6034,Ahluwalia Contracts India Ltd
6046,Adani Wilmar
6071,Winjit Technologies
6092,Reliance Retail Limited
6100,Spandana Sphoorty
6136,Daimler
6140,Airtel ATN
6141,Suzuki Motor
6148,Jindal Saw
6160,Sterling & Wilson
6193,HDB Financial Services
6203,Motherson Sumi Systems
6207,Integra Software Services
6214,Rane
6261,Intex Technologies
6270,KENT RO Systems
6283,PVR Limited
6288,ITD Cementation India
6316,Sundaram Infotech Solutions
6322,Jagran Prakashan
6328,Cholamandalam
6392,C&S Electric
6409,Trawex Technologies
6436,Volvo Construction Equipment
6448,Dover Corporation
6450,CMA CGM
6487,TCS Technologies
6489,Dainik Bhaskar
6525,Kalpataru Group
6535,BRIDGEi2i
6536,Tata Cummins
6539,Coalition Development
6541,Parekh Integrated Services
6564,Dainik Jagran
6573,Essar Projects
6596,Doyen Infosolutions
6597,Webdunia
7501,Endurance International Group
7799,Reliance Communications
7817,L&W Construction
7849,DLF Brands
7965,Bird Worldwide Flight Services
8001,C.R.I. Pumps
8026,DCM Engineering
8038,URC Infotec
8071,Amrit Group
8091,Sanghi Industries
8095,Radico Khaitan
8102,o9 Solutions
8150,Newgen Knowledge Works
8162,BrahMos Aerospace
8226,Delhi Public School
8248,IIM Lucknow
8348,Ashoka Buildcon Limited
8350,Caretel Infotech
8361,Syrma Technology
8427,Craft Silicon
8515,Ambuja Cement Foundation
8516,BNT SOFT
8689,Health Care Global Enterprises
8740,Cement Manufacturing Company
8746,Dishnet Wireless Limited
8815,Cargill Foods India
8819,Travelyaari
8895,H&M
8904,MasterCard
8906,BOOZ & COMPANY (Strategy&)
8917,Teva Pharmaceuticals
8918,Technip
8924,Sandoz
8939,Parthenon - EY
8974,FCm Travel Solutions
9012,Sun Pharmaceutical
9043,Bharat Oman Refineries Limited
9060,Kurlon
9078,Eicher Motors
9118,JK Paper
9148,Sysnet Global Technologies
9151,ReGen Powertech
9162,Varun Beverages
9207,HyperCITY
9238,Indus Towers
9247,Mediamint
9297,Johnson Lifts
9319,Dover India
9383,Adani Ports and Special Economic Zone Limited (APS
9385,HashedIn Technologies
9416,Gannon Dunkerley
9426,SpiderLogic
9470,SEL Group
9540,Bombardier Transportation
9563,ACC
9566,Yazaki
9583,BackOffice Associates
9625,Faurecia
